State/UT,No of RO's where EV Charging Facility available
Andhra Pradesh,65
Arunachal Pradesh,4
Assam,19
Bihar,26
Chandigarh,4
Chhattisgarh,51
Delhi,66
Goa,17
Gujarat,87
Haryana,114
Himachal Pradesh,13
Jharkhand,22
Jammu and Kashmir,3
Karnataka,100
Kerala,39
Leh,2
Madhya Pradesh,167
Maharastra,88
Manipur,1
Meghalaya,3
Nagaland,2
Odisha,26
Pondicherry,2
Punjab,41
Rajasthan,174
Tamil Nadu,76
Telangana,112
Tripura,3
Uttar Pradesh,128
Uttarakhand,10
West Bengal,71
Grand Total,1536
