,Andaman and Nicobar Island,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Dadra and Nagar Haveli and Daman and Diu,Uttarakhand,Uttar Pradesh,West Bengal
Total Number of active Vehicle as on 08.12.2021,143529,235189,4445227,9816784,720272,6575832,12496058,1036568,19780771,10437108,1897442,1766726,6219796,26196853,15348141,34665,29777450,461063,437069,299550,323087,9507366,1186091,12128139,16711095,90685,28953331,629174,297137,3227453,38628929,13600830
Total number of active Electric Vehicles as on 08.12.2021,157,20,43707,58655,1791,11998,126111,1315,13270,24379,623,1334,11060,72018,12109,6,53159,519,31,18,53,10001,1393,8190,47480,22,45368,7146,123,23524,258105,43432
No of RO's where EV Charging Facility available,,4.0,19.0,26.0,4.0,51.0,66.0,17.0,87.0,114.0,13.0,3.0,22.0,100.0,39.0,,,1.0,3.0,,2.0,26.0,,41.0,174.0,,76.0,3.0,,10.0,128.0,71.0
Two Wheelers (Category L1 & L2 as per Central Motor Vehicles Rules,,,463.0,252.0,612.0,613.0,1395.0,0.0,7182.0,3162.0,0.0,,75.0,784.0,432.0,,2630.0,16.0,0.0,,0.0,377.0,,698.0,2036.0,,491.0,28.0,,,2954.0,1451.0
Two Wheelers (Category L2 (CMVR)),,,138.0,430.0,18.0,382.0,251.0,0.0,217.0,1504.0,0.0,,228.0,1104.0,78.0,,2097.0,8.0,0.0,,20.0,824.0,,300.0,1153.0,,863.0,9.0,,,2355.0,65.0
Two Wheelers (Max power not exceeding 250 Watts),,,1006.0,2148.0,896.0,2078.0,5018.0,0.0,8476.0,13908.0,0.0,,736.0,3252.0,4961.0,,10146.0,11.0,0.0,,3.0,2031.0,,1968.0,8375.0,,8260.0,36.0,,,15199.0,10781.0
Three Wheelers (Category L5 slow speed as per CMVR),,,0.0,6.0,0.0,58.0,0.0,0.0,0.0,113.0,0.0,,9.0,2.0,1.0,,6.0,0.0,0.0,,0.0,0.0,,0.0,19.0,,0.0,0.0,,,117.0,3.0
Three Wheelers (Category L5 as per CMVR),,,117.0,64.0,0.0,106.0,1.0,0.0,4.0,24.0,0.0,,7.0,0.0,0.0,,3.0,5.0,0.0,,0.0,37.0,,5.0,64.0,,0.0,0.0,,,139.0,0.0
Passenger Cars (Category M1 as per CMVR),,,151.0,271.0,974.0,997.0,12695.0,513.0,15388.0,4878.0,98.0,,655.0,8242.0,5729.0,,19129.0,12.0,6.0,,1.0,594.0,,3567.0,4116.0,,7132.0,8.0,,,5445.0,1840.0
Buses,,,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0
