YEAR,2 W,3 W,4 W,BUS,TOTAL
Apr-17,96,4748,198,0,5042
May-17,91,6720,215,2,7028
Jun-17,137,7178,149,1,7465
Jul-17,116,8775,120,0,9011
Aug-17,99,8905,137,0,9141
Sep-17,109,7414,193,0,7716
Oct-17,160,7250,214,0,7624
Nov-17,214,9598,186,11,10009
Dec-17,189,8719,179,0,9087
Jan-18,176,8750,210,29,9165
Feb-18,156,6904,258,88,7406
Mar-18,461,7009,183,18,7671
Apr-18,486,6593,214,68,7361
May-18,681,7276,262,69,8288
Jun-18,956,7556,288,94,8894
Jul-18,1217,9844,278,91,11430
Aug-18,1573,9990,198,49,11810
Sep-18,2257,11130,172,54,13613
Oct-18,2557,12305,90,21,14973
Nov-18,3374,10517,193,87,14171
Dec-18,3168,12501,154,12,15835
Jan-19,2745,10533,86,17,13381
Feb-19,3126,8786,230,97,12239
Mar-19,5866,9000,242,86,15194
Apr-19,3078,7888,124,44,11134
May-19,1666,8256,63,48,10033
Jun-19,1757,9187,60,40,11044
Jul-19,1569,10746,117,81,12513
Aug-19,1506,11527,108,100,13241
Sep-19,1561,14340,180,147,16228
Oct-19,2136,13261,195,157,15749
Nov-19,3144,15543,222,186,19095
Dec-19,2235,14422,122,90,16869
Jan-20,2941,13553,389,9,16892
Feb-20,2353,13622,496,19,16490
Mar-20,2883,10706,428,7,14024
Apr-20,85,870,3,0,958
May-20,558,668,84,0,1310
Jun-20,1511,4662,295,0,6468
Jul-20,1488,5871,359,0,7718
Aug-20,2115,5937,371,0,8423
Sep-20,3089,7747,340,1,11177
Oct-20,2951,7946,462,8,11367
Nov-20,4190,8537,570,34,13331
Dec-20,4948,10242,526,10,15726
Jan-21,5319,10931,657,39,16946
Feb-21,6581,12550,627,186,19944
Mar-21,11963,14931,907,95,27896
Apr-21,5694,7951,1080,156,14881
May-21,1243,1048,262,85,2638
Jun-21,4671,6338,1041,70,12120
Jul-21,14671,1853,1260,49,17833
Aug-21,16046,13309,1202,80,30637
Sep-21,18032,16964,1361,79,36436
Oct-21,20812,18497,1419,84,40812
Nov-21,24528,18690,1681,34,44933
Dec-21,26622,24118,2645,223,53608
Jan-22,30121,19548,1587,331,51587
Feb-22,35708,19621,2474,278,58081
Mar-22,54402,24606,3770,143,82921
Apr-22,53258,21626,2310,166,77360
May-22,42417,24100,3007,167,69691
Jun-22,44372,27846,3280,146,75644
Jul-22,46606,30489,3454,208,80757
Aug-22,52196,33055,3417,228,88896
Sep-22,53210,37404,3589,204,94407
Oct-22,77137,35889,3950,243,117219
Nov-22,76700,40403,4027,118,121248
Dec-22,64598,35542,3879,151,104170
Jan-23,64649,34308,3490,98,102545
Feb-23,66033,35995,4850,99,106977
Mar-23,86194,45225,8852,89,140360
Apr-23,66755,38016,6193,84,111048
May-23,105154,44615,7736,283,157788
,,,,,
